Timestamp,In which city or town are you renting a property?,Select the level of population density where the property you're renting is located,"Is the property located in a cluster setting, whereby there are many houses/ buildings in the same yard/compound?",Is the house/property insured against accidents?,Do you share the house/property with others?,How many rooms of the property are you using,What are you using the property for?,In what currency do you pay your rentals?,How much do pay for the property/house/room that you're are renting,"Is your monthly rental fee inclusive of utility bills(electricity, water, etc)",Tick services that you are allowed to use on the property that you are renting
4/6/2019 09:56,Bulawayo,Medium density,No,Not Sure,"Yes, I share with others",1,Residential,RTGS$,150,It includes utility bills,"Borehole, Electricity, DuraWall, Fence, Bulgar Alarm/Electric fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Veranda"
4/6/2019 12:40,Bulawayo,High density,No,No,No I do not not share it with any one.,6,Residential,RTGS$,300,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, DuraWall, Car garage, Veranda"
4/8/2019 06:32,Bulawayo,Medium density,No,No,No I do not not share it with any one.,4,Residential,RTGS$,150,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, Fiber internet connection, Fence, Landline Phone, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Vegetable garden space, Car garage"
4/8/2019 13:58,Bulawayo,Low density,Yes,Yes,No I do not not share it with any one.,4,Residential,USD,300,It does not include utility bills. I have to pay them separately after paying rent,"Borehole, DuraWall, Fence, Guarding Services, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Car garage"
4/9/2019 07:05,Bulawayo,Medium density,Yes,No,No I do not not share it with any one.,6,Residential,RTGS$,350,It includes utility bills,"Electricity, ADSL intent connection, DuraWall, Landline Phone, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Vegetable garden space, Car garage, Veranda"
4/9/2019 10:00,Bulawayo,Low density,No,Not Sure,"Yes, I share with others",2,Residential,RTGS$,100,It includes utility bills,"Electricity, ADSL intent connection, DuraWall"
4/10/2019 07:16,Bulawayo,Low density,No,Not Sure,"Yes, I share with others",4,Residential,RTGS$,300,It includes utility bills,"Borehole, Electricity, ADSL intent connection, Fence, Guarding Services, Swimming Pool, Vegetable garden space, Car garage, Generator, Veranda"
4/12/2019 17:30,Bulawayo,High density,Yes,Yes,No I do not not share it with any one.,5,Residential,RTGS$,100,It includes utility bills,"Electricity, Fiber internet connection, ADSL intent connection, DuraWall, Fence, Landline Phone, Bulgar Alarm/Electric fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Swimming Pool, Vegetable garden space, Car garage, Generator, Veranda"
4/6/2019 10:12,Bulawayo,Medium density,Yes,Not Sure,"Yes, I share with others",1,Residential,RTGS$,160,It includes utility bills,"Electricity, ADSL intent connection, DuraWall"
4/6/2019 11:33,Bulawayo,High density,No,No,No I do not not share it with any one.,5,Residential,RTGS$,120,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, DuraWall, Landline Phone, Vegetable garden space"
